community_area_name,community_area,year,gang_dominant,n_gangs_present,pct_area_gang_control,n_dv_crimes,n_homicides,n_arrests,gang_map_year_used,imputed_gang_map,n_shoot_total,n_fem_shoot,n_fem_shoot_res,n_fem_shoot_pub,n_fem_shoot_fatal,n_male_shoot,n_dv_check,n_dv_res,n_dv_pub,n_dv_homicide,n_dv_arrested,total_pop,pop_black,pop_white,pop_latino,pop_female,median_hh_income,per_capita_income,pct_black,pct_white,pct_latino,pct_female,pct_poverty,pct_unemp_young,pct_bachelor_plus,area_km2,pop_density_per_km2,dv_consistency_ratio,arrest_rate_dv,dv_per_100k,fem_shoot_per_100k_female,gang_family
WEST ELSDON,62,2013,NA,NA,NA,155,0,0,2012,1,3,1,1,0,1,2,155,121,30,0,31,19207.75,229.5,11395.5,15453.75,9810.25,48455.00002810906,16991.657270292308,0.01194138416562135,0.5933557033777074,0.8045354376033058,0.5107168764796622,0.14839075020499573,0.18513505526031468,0.09581268016402254,3.0389708150844146,6320.478599089955,1,0.2,806.965938228059,10.19342014729492,NA
WEST ELSDON,62,2014,LATIN KINGS,1,0.21160949568296925,138,0,29,2014,0,6,0,0,0,0,6,138,99,30,0,33,19250.5,250,11191,15553.5,9911.5,51327.73071105768,18062.655839828025,0.01297747221853725,0.581441383275112,0.8079229493000111,0.5148331789963712,0.13558951008045975,0.1949549536751295,0.10523723207082396,3.0389708150844146,6334.545861528872,1,0.2391304347826087,716.8644970260513,0,People Nation
WEST ELSDON,62,2015,LATIN KINGS,1,0.21160949568296925,22,3,3,2015,0,9,1,1,0,1,8,22,18,2,0,7,19293.25,270.5,10986.5,15653.25,10012.75,54200.46139400629,19133.654409363746,0.01401356027145315,0.5695270631725167,0.8113104609967163,0.5189494815130801,0.1227882699559238,0.2047748520899443,0.1146617839776254,3.0389708150844146,6348.613123967788,1,0.3181818181818182,114.02951809570705,9.987266235549674,People Nation
WEST ELSDON,62,2016,LATIN KINGS,1,0.21160949534295828,148,6,15,2016,0,9,2,0,1,1,7,148,110,28,0,25,19336,291,10782,15753,10114,57073.1920769549,20204.652978899463,0.01504964832436905,0.5576127430699214,0.8146979726934216,0.523065784029789,0.1099870298313878,0.21459475050475915,0.12408633588442686,3.0389708150844146,6362.680386406704,1,0.16891891891891891,765.4116673562268,19.77456990310461,People Nation
WEST ELSDON,62,2017,LATIN KINGS,1,0.21160949534295828,165,1,22,2017,0,3,0,0,0,0,3,165,137,21,0,29,19093.5,250.5,10053.75,15544,9885.75,58721.34815768351,22079.135410968673,0.0130431983471644,0.5253232456395858,0.8140753144324042,0.5175443559903261,0.11374367540087396,0.20309867867330444,0.13700465454887495,3.0389708150844146,6282.883634560219,1,0.17575757575757575,864.1684342839186,0,People Nation
WEST ELSDON,62,2018,LATIN KINGS,1,0.21160949534295828,194,2,29,2018,0,5,0,0,0,0,5,194,150,23,0,34,18851,210,9325.5,15335,9657.5,60369.50423841212,23953.61784303789,0.01103674836995976,0.49303374820925017,0.8134526561713868,0.5120229279508631,0.11750032097036012,0.19160260684184977,0.14992297321332304,3.0389708150844146,6203.086882713736,1,0.17525773195876287,1029.123123441727,0,People Nation
WEST ELSDON,62,2019,LATIN KINGS,1,0.21160949534295828,188,2,43,2019,0,6,0,0,0,0,6,188,139,42,0,43,18608.5,169.5,8597.25,15126,9429.25,62017.66031914072,25828.100275107096,0.00903029839275512,0.4607442507789145,0.8128299979103695,0.5065014999114001,0.1212569665398463,0.18010653501039506,0.16284129187777113,3.0389708150844146,6123.290130867251,1,0.22872340425531915,1010.2909960501921,0,People Nation
WEST ELSDON,62,2020,LATIN KINGS,1,0.21160949534295828,142,2,14,2020,0,4,0,0,0,0,4,142,107,30,0,19,18366,129,7869,14917,9201,63665.81639986933,27702.582707176305,0.00702384841555047,0.4284547533485789,0.8122073396493521,0.5009800718719373,0.12501361210933246,0.16861046317894035,0.17575961054221922,3.0389708150844146,6043.493379020766,1,0.13380281690140844,773.1678100838506,0,People Nation
WEST ELSDON,62,2021,LATIN KINGS,1,0.21160949534295828,142,1,17,2021,0,8,1,0,1,1,7,142,112,26,0,16,18366,129,7869,14917,9201,63665.81639986933,27702.582707176305,0.00702384841555047,0.4284547533485789,0.8122073396493521,0.5009800718719373,0.12501361210933246,0.16861046317894035,0.17575961054221922,3.0389708150844146,6043.493379020766,1,0.11267605633802817,773.1678100838506,10.868383871318334,People Nation
WEST ELSDON,62,2022,LATIN KINGS,1,0.21160949534295828,182,0,15,2022,0,2,0,0,0,0,2,182,135,39,0,18,18366,129,7869,14917,9201,63665.81639986933,27702.582707176305,0.00702384841555047,0.4284547533485789,0.8122073396493521,0.5009800718719373,0.12501361210933246,0.16861046317894035,0.17575961054221922,3.0389708150844146,6043.493379020766,1,0.0989010989010989,990.9615594032451,0,People Nation
WEST ELSDON,62,2023,LATIN KINGS,1,0.21160941288956547,177,1,23,2023,0,16,2,0,2,1,14,177,125,37,0,27,18366,129,7869,14917,9201,63665.81639986933,27702.582707176305,0.00702384841555047,0.4284547533485789,0.8122073396493521,0.5009800718719373,0.12501361210933246,0.16861046317894035,0.17575961054221922,3.0389708150844146,6043.493379020766,1,0.15254237288135594,963.7373407383208,21.73676774263667,People Nation
WEST ELSDON,62,2024,LATIN KINGS,1,0.21160949534295828,206,1,27,2024,0,7,0,0,0,0,7,206,169,28,0,30,18366,129,7869,14917,9201,63665.81639986933,27702.582707176305,0.00702384841555047,0.4284547533485789,0.8122073396493521,0.5009800718719373,0.12501361210933246,0.16861046317894035,0.17575961054221922,3.0389708150844146,6043.493379020766,1,0.14563106796116504,1121.6378089948819,0,People Nation
GAGE PARK,63,2008,LATIN KINGS,6,0.5344289046208204,669,7,0,2008,0,7,0,0,0,0,7,669,541,109,0,117,38850,1906,17775,34639,19339,38709.33016731017,12013.870604890604,0.04906048906048906,0.4575289575289575,0.8916087516087516,0.49778635778635777,0.20737494489536604,0.19573215599705665,0.05649566955363091,5.693576214973513,6823.479397330019,1,0.17488789237668162,1722.0077220077221,0,People Nation
GAGE PARK,63,2009,LATIN KINGS,6,0.5344289046208204,581,6,0,2009,0,6,0,0,0,0,6,581,460,106,0,142,39232.75,1794.25,18188,35294.25,19363.75,38398.27230912097,11963.822575519816,0.04582808020018589,0.463419866409515,0.8993843577185991,0.49368101793735136,0.21677359722491116,0.19573215599705665,0.05649566955363091,5.693576214973513,6890.7042812252075,1,0.24440619621342513,1480.9056209416876,0,People Nation
GAGE PARK,63,2010,LATIN KINGS,6,0.7074198372346542,596,8,0,2010,0,54,4,1,1,1,50,596,465,106,1,111,39615.5,1682.5,18601,35949.5,19388.5,38087.21445093177,11913.774546149025,0.04259567133988273,0.4693107752900725,0.9071599638284464,0.4895756780883449,0.22617224955445625,0.19573215599705665,0.05649566955363091,5.693576214973513,6957.929165120396,1,0.18624161073825504,1504.4616374903762,20.63078629084251,People Nation
GAGE PARK,63,2011,NA,NA,NA,586,7,0,2010,1,38,3,0,3,1,35,586,454,108,0,142,39998.25,1570.75,19014,36604.75,19413.25,37776.156592742576,11863.726516778232,0.03936326247957956,0.47520168417063,0.914935569938294,0.4854703382393385,0.23557090188400137,0.19573215599705665,0.05649566955363091,5.693576214973513,7025.154049015584,1,0.24232081911262798,1465.0640965542243,15.453363038131172,NA
GAGE PARK,63,2012,LATIN KINGS,5,0.4726391924810548,449,7,0,2012,0,33,0,0,0,0,33,449,343,89,0,114,40381,1459,19427,37260,19438,37465.09873455338,11813.678487407444,0.03613085361927639,0.48109259305118746,0.9227111760481416,0.4813649983903321,0.2449695542135465,0.19573215599705665,0.05649566955363091,5.693576214973513,7092.378932910773,1,0.25389755011135856,1111.909066144969,0,People Nation
