stat,group,sex,period,band,n,value,total,chi2_fem_treated,p_fem_treated,chi2_masc_treated,p_masc_treated,notes
band_share,Treated,M,post,20-29,6041,0.4152746270708737,14547,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,post,30-39,3450,0.23716230150546505,14547,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,post,40-49,1350,0.0928026397195298,14547,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,post,50-59,606,0.0416580738296556,14547,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,post,60-69,244,0.016773217845603903,14547,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,post,70-79,46,0.0031621640200728673,14547,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,post,80+,12,8.249123530624871e-4,14547,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,pre,0-19,2178,0.3049139017219656,7143,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,pre,20-29,3189,0.44645107097858044,7143,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,pre,30-39,1170,0.16379672406551868,7143,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,pre,40-49,372,0.052078958420831586,7143,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,pre,50-59,185,0.025899482010359794,7143,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,pre,60-69,32,0.004479910401791964,7143,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,pre,70-79,11,0.0015399692006159878,7143,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
band_share,Treated,M,pre,80+,6,8.399832003359933e-4,7143,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
share_young_0_29,Control,F,post,0-29,403,0.6203473945409429,403,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
share_young_0_29,Control,F,pre,0-29,112,0.6160714285714286,112,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
share_young_0_29,Control,M,post,0-29,2646,0.6099773242630385,2646,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
share_young_0_29,Control,M,pre,0-29,800,0.715,800,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
share_young_0_29,Treated,F,post,0-29,2438,0.6082854799015587,2438,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
share_young_0_29,Treated,F,pre,0-29,827,0.6783555018137848,827,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
share_young_0_29,Treated,M,post,0-29,14547,0.6076166907266103,14547,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
share_young_0_29,Treated,M,pre,0-29,7143,0.751364972700546,7143,88.4074973705926,2.62613478912817e-16,591.0168586493907,2.0933674311575273e-123,"Amostra DiD 24+24 CAs, 2010-2024 ex-2015, join por nome de CA. Idade em faixas nativas. UNKNOWN excluido do perfil: 74 obs."
