year,community_area,sex,age
2024,NORTH LAWNDALE,M,50-59
2024,WEST ENGLEWOOD,M,40-49
2024,UPTOWN,M,20-29
2024,GREATER GRAND CROSSING,F,20-29
2024,GREATER GRAND CROSSING,M,20-29
2024,NORTH LAWNDALE,M,20-29
2024,NORTH LAWNDALE,M,0-19
2024,ROSELAND,M,20-29
2024,EAST GARFIELD PARK,F,40-49
2024,CHICAGO LAWN,UNKNOWN,UNKNOWN
2024,SOUTH CHICAGO,M,30-39
2024,SOUTH CHICAGO,M,30-39
2024,WASHINGTON PARK,M,60-69
2024,AUBURN GRESHAM,F,50-59
2024,AUBURN GRESHAM,M,60-69
2024,AUSTIN,F,20-29
2024,AUSTIN,F,20-29
2024,WEST GARFIELD PARK,M,0-19
2024,GAGE PARK,F,0-19
2024,GAGE PARK,M,0-19
2024,ROGERS PARK,M,20-29
2024,ARCHER HEIGHTS,F,40-49
2024,ARCHER HEIGHTS,F,20-29
2024,SOUTH DEERING,M,20-29
2024,NEAR WEST SIDE,M,0-19
2024,ROSELAND,M,20-29
2024,WEST GARFIELD PARK,M,20-29
2024,NORTH LAWNDALE,M,40-49
2024,SOUTH CHICAGO,M,20-29
2024,NORTH LAWNDALE,M,20-29
2024,WEST PULLMAN,M,30-39
2024,SOUTH LAWNDALE,M,30-39
2024,OAKLAND,M,30-39
2024,NEW CITY,M,40-49
2024,NORTH LAWNDALE,M,30-39
2024,WEST TOWN,M,20-29
2024,HUMBOLDT PARK,M,20-29
2024,WEST GARFIELD PARK,M,UNKNOWN
2024,WEST GARFIELD PARK,M,50-59
2024,GARFIELD RIDGE,M,20-29
2024,AUSTIN,M,40-49
2024,NEAR WEST SIDE,M,20-29
2024,WOODLAWN,M,0-19
2024,UPTOWN,M,40-49
2024,CHATHAM,M,20-29
2024,HUMBOLDT PARK,M,30-39
2024,MORGAN PARK,M,30-39
2024,AUBURN GRESHAM,M,30-39
2024,NEW CITY,M,20-29
2024,NORTH LAWNDALE,M,20-29
2024,JEFFERSON PARK,M,0-19
2024,WEST GARFIELD PARK,M,30-39
2024,SOUTH LAWNDALE,M,30-39
2024,SOUTH LAWNDALE,M,20-29
2024,EAST GARFIELD PARK,M,30-39
2024,AUBURN GRESHAM,F,0-19
2024,AUSTIN,M,0-19
2024,SOUTH SHORE,M,60-69
2024,LOWER WEST SIDE,F,20-29
2024,UPTOWN,M,30-39
2024,UPTOWN,M,30-39
2024,AUBURN GRESHAM,M,20-29
2024,AUBURN GRESHAM,M,20-29
2024,MCKINLEY PARK,F,40-49
